"id","product_id/name","name","structural_type_id/name","premium_amount","extended_family_top_up","sum_assured","grocery_benefit","casket_allocation"
"rate_o_bronze_member","O Plan","Bronze Plan","Member Only","15.00","2.00","100.00","50.00","standard"
"rate_o_silver_member","O Plan","Silver Plan","Member Only","24.00","2.00","120.00","60.00","two_tier"
"rate_o_diamond_member","O Plan","Diamond Plan","Member Only","27.00","2.00","130.00","70.00","three_tier"
"rate_o_platinum_member","O Plan","Platinum/Gold","Member Only","33.00","2.00","150.00","90.00","dome"
"rate_o_bronze_family","O Plan","Bronze Plan","Family Only","18.00","2.00","100.00","50.00","standard"
"rate_o_silver_family","O Plan","Silver Plan","Family Only","23.00","2.00","120.00","60.00","two_tier"
"rate_o_diamond_family","O Plan","Diamond Plan","Family Only","29.00","2.00","130.00","70.00","three_tier"
"rate_o_platinum_family","O Plan","Platinum/Gold","Family Only","39.00","2.00","150.00","90.00","dome"
"rate_o_bronze_parents","O Plan","Bronze Plan","Family + 4 Parents","33.00","2.00","120.00","70.00","standard"
"rate_o_silver_parents","O Plan","Silver Plan","Family + 4 Parents","38.00","2.00","140.00","80.00","two_tier"
"rate_o_diamond_parents","O Plan","Diamond Plan","Family + 4 Parents","44.00","2.00","150.00","90.00","three_tier"
"rate_o_platinum_parents","O Plan","Platinum/Gold","Family + 4 Parents","50.00","2.00","170.00","110.00","dome"
"rate_hukama","Hukama Plan","Hukama Standard","Member Only","20.00","2.00","120.00","60.00","standard"
"rate_gutsarushinji","Gutsarushinji Plan","Gutsarushinji Standard","Member Only","38.00","2.00","150.00","100.00","dome"
"rate_civil_servant","ZPCS / SSB / Civil Servant","Standard Civil Servant","Member Only","21.00","2.00","120.00","75.00","two_tier"
"rate_zene_standard","ZENE Plan","ZENE Standard","Member Only","15.00","2.00","100.00","50.00","standard"
"rate_zene_twotier","ZENE Plan","ZENE Two-Tier","Member Only","20.00","2.00","150.00","60.00","two_tier"
"rate_zene_dome","ZENE Plan","ZENE Dome","Member Only","25.00","2.00","200.00","70.00","dome"
"rate_corporate","Corporate Group Plan","Corporate Flat Rate","Corporate Group","2.00","2.00","0.00","0.00",""
